SMS,true_label,predicted,confusion_type,if_URL,if_phone,if_email
"
We hope you enjoyed your meal from KFC Janakpuri (W). We would like to hear about your experience. Please leave your feedback at https://tinyurl.com/2p96khfd
",legitimate,smishing,legitimate -> smishing,1,0,0
"Confirmed:   Your   order   for   NANGROW   (33gms)   successfully   placed   &   will   reach   you   by   17   May,   2022.   Track   here:   http://lybr.at/trck",legitimate,smishing,legitimate -> smishing,1,0,0
[KuCoin]  Alert:  Your  password  has  been  updated.  Not  you?  Please  visit:  https://kucoin-auth.web.app,legitimate,smishing,legitimate -> smishing,1,0,0
"Confirmed:   Your   order   for   Polident   Dentur...   successfully   placed   &   will   reach   you   by   26   May,   2022.   Track   here:   http://lybr.at/trck",legitimate,smishing,legitimate -> smishing,1,0,0
"Delivered:   Hi   Sk,   your   package   with   Nestle   Lactogro...   is   successfully   delivered.   More   info   at   Lybrate.   http://lybr.at/2790a93b8   In   case   of   any   discrepancy   in   your   order,   mail   us   at   [emailÂ protected]   within   48   hrs   mentioning   your   order   code   and   registered   mobile   number.",legitimate,smishing,legitimate -> smishing,1,0,0
"Delivered:   Hi   Khushi   Mondal,   your   package   with   Nestle   Lactogro...   is   successfully   delivered.   More   info   at   Lybrate.   http://lybr.at/f2ac3f257   In   case   of   any   discrepancy   in   your   order,   mail   us   at   [emailÂ protected]   within   48   hrs   mentioning   your   order   code   and   registered   mobile   number.",legitimate,smishing,legitimate -> smishing,1,0,0
Haga click en https://tiny.one/3nndndv8  para visualizar o cancelar tu entrada al evento DECARNEYHUESO - EL OFICIO DEL MAR,legitimate,smishing,legitimate -> smishing,1,0,0
"Delivered:  Hi  Sk,  your  package  with  Nestle  Lactogro...  is  successfully  delivered.  More  info  at  Lybrate.  http://lybr.at/2790a93b8  In  case  of  any  discrepancy  in  your  order,  mail  us  at  [emailÂ protected]  within  48  hrs  mentioning  your  order  code  and  registered  mobile  number.",legitimate,smishing,legitimate -> smishing,1,0,0
"Confirmed:   Your   order   for   NANGROW   (33gms)   successfully   placed   &   will   reach   you   by   12   May,   2022.   Track   here:   http://lybr.at/trck",legitimate,smishing,legitimate -> smishing,1,0,0
WE REGRET TO INFORM U THAT THE NHS HAS MADE A MISTAKE.U WERE NEVER ACTUALLY BORN.PLEASE REPORT 2 YOR LOCAL HOSPITAL 2B TERMINATED.WE R SORRY 4 THE INCONVENIENCE,legitimate,smishing,legitimate -> smishing,0,0,0
